iter	Passed	Remaining
0	4	4767
1	8	4210
2	11	3952
3	15	3741
4	18	3657
5	21	3640
6	29	4228
7	36	4585
8	42	4727
9	49	4933
10	54	4905
11	61	5046
12	65	4988
13	70	4983
14	75	4931
15	80	4979
16	84	4902
17	89	4903
18	95	4942
19	99	4882
20	106	4974
21	111	4976
22	115	4886
23	119	4871
24	125	4901
25	129	4837
26	133	4798
27	137	4759
28	142	4769
29	146	4739
30	151	4720
31	156	4741
32	162	4755
33	165	4700
34	169	4683
35	175	4703
36	180	4703
37	184	4673
38	190	4686
39	195	4701
40	203	4759
41	208	4762
42	213	4761
43	219	4779
44	225	4791
45	229	4749
46	234	4758
47	239	4756
48	243	4724
49	247	4698
50	251	4688
51	257	4703
52	266	4758
53	276	4842
54	282	4853
55	287	4850
56	291	4820
57	298	4840
58	301	4809
59	304	4776
60	307	4740
61	311	4706
62	316	4708
63	321	4697
64	325	4688
65	330	4679
66	335	4676
67	340	4668
68	346	4669
69	350	4650
70	355	4647
71	358	4617
72	362	4600
73	364	4563
74	367	4531
75	370	4504
76	373	4476
77	376	4454
78	380	4433
79	383	4409
80	386	4384
81	390	4368
82	395	4372
83	398	4343
84	401	4321
85	404	4298
86	409	4300
87	412	4275
88	415	4254
89	418	4230
90	421	4211
91	426	4208
92	429	4192
93	431	4156
94	434	4137
95	440	4145
96	443	4125
97	445	4102
98	449	4091
99	453	4082
100	461	4107
101	465	4096
102	468	4078
103	472	4073
104	477	4066
105	480	4050
106	483	4035
107	491	4057
108	494	4042
109	497	4026
110	500	4008
111	505	4007
112	508	3992
113	511	3976
114	514	3962
115	521	3971
116	524	3956
117	527	3941
118	530	3925
119	535	3926
120	539	3918
121	542	3904
122	545	3890
123	550	3887
124	554	3880
125	557	3869
126	560	3855
127	565	3849
128	571	3856
129	574	3845
130	577	3831
131	585	3846
132	590	3852
133	594	3839
134	599	3842
135	602	3828
136	606	3819
137	609	3804
138	613	3800
139	618	3799
140	621	3787
141	624	3776
142	632	3790
143	636	3782
144	639	3769
145	642	3760
146	648	3762
147	651	3750
148	654	3738
149	657	3726
150	662	3725
151	665	3713
152	668	3701
153	671	3690
154	676	3686
155	683	3698
156	689	3701
157	694	3703
158	700	3705
159	706	3711
160	711	3706
161	717	3711
162	723	3712
163	726	3700
164	728	3688
165	731	3677
166	735	3666
167	738	3655
168	741	3645
169	744	3632
170	746	3618
171	749	3607
172	752	3597
173	757	3595
174	760	3585
175	763	3576
176	769	3577
177	774	3575
178	784	3596
179	789	3597
180	795	3599
181	799	3592
182	806	3602
183	809	3591
184	813	3582
185	816	3575
186	821	3571
187	828	3577
188	834	3580
189	838	3573
190	842	3567
191	847	3568
192	853	3570
193	857	3560
194	859	3546
195	862	3537
196	865	3527
197	870	3524
198	872	3513
199	875	3503
200	879	3494
201	882	3486
202	885	3476
203	887	3463
204	891	3455
205	894	3446
206	898	3441
207	900	3430
208	902	3416
209	905	3407
210	909	3399
211	915	3402
212	919	3399
213	922	3389
214	925	3378
215	928	3371
216	932	3363
217	935	3355
218	938	3346
219	941	3337
220	944	3330
221	950	3329
222	953	3322
223	956	3313
224	959	3305
225	962	3297
226	966	3290
227	969	3282
228	973	3277
229	984	3295
230	989	3293
231	998	3304
232	1007	3315
233	1014	3322
234	1021	3323
235	1026	3321
236	1029	3313
237	1032	3305
238	1035	3296
239	1038	3287
240	1043	3286
241	1046	3278
242	1049	3269
243	1052	3260
244	1054	3249
245	1055	3235
246	1057	3224
247	1060	3216
248	1063	3208
249	1066	3200
250	1069	3192
251	1073	3185
252	1076	3178
253	1079	3170
254	1081	3159
255	1084	3152
256	1089	3149
257	1091	3140
258	1095	3132
259	1098	3125
260	1100	3117
